PD,ROI,FD,,
0.182134,2,0.0309999300000001,,
0.202323,2,0.0469999600000008,,
0.201946,2,0.0620000700000034,,
0.233839,2,0.077999860000002,,
0.227435,2,0.109000000000002,,
0.170879,1,0.0160000300000007,,
0.212744,1,0.0309999000000012,,
0.162264,1,0.0469999299999984,,
0.207288,1,0.0780000700000016,,
0.65345,1,0.108999969999999,,
0.647513,1,0.141000030000001,,
0.314468,1,0.171999929999998,,
0.204056,1,0.203000070000002,,
0.282248,1,0.25,,
0.523684,1,0.296999929999998,,
0.654614,1,0.328000070000002,,
0.041496,1,0.358999969999999,,
0.886264,1,0.391000030000001,,
0.612227,1,0.421999929999998,,
0.212026,1,0.46899986,,
0.226857,1,0.5,,
0.197378,1,0.530999900000001,,
0.212775,1,0.562999959999999,,
0.182014,1,0.59399986,,
0.211279,1,0.625,,
0.163325,1,0.655999900000001,,
0.65082,1,0.687999959999999,,
0.202065,1,0.733999969999999,,
0.201319,1,0.766000030000001,,
0.174624,1,0.796999929999998,,
0.199254,1,0.828000070000002,,
0.228221,1,0.858999969999999,,
0.215741,1,0.891000030000001,,
0.200797,1,0.921999929999998,,
0.206066,1,0.953000070000002,,
0.20047,1,NaN,,
0.197043,1,1.0309999,,
0.680987,1,1.06299996,,
0.218301,2,0.0309998600000014,,
0.219879,2,0.0620000000000012,,
0.206789,2,0.0929999000000024,,
0.215342,2,0.12499996,,
0.209003,2,0.17099997,,
0.204668,2,0.203000030000002,,
0.19515,2,0.23399993,,
0.167211,2,0.265000070000003,,
0.221958,2,0.29599997,,
0.189581,2,0.328000030000002,,
0.200757,2,0.35899993,,
0.210219,2,0.405999860000001,,
0.234982,2,0.437000000000001,,
0.237834,2,0.467999900000002,,
0.199824,2,0.49999996,,
0.171696,2,0.530999860000001,,
0.183198,2,0.562000000000001,,
0.175803,2,0.592999900000002,,
0.066862,2,0.640000070000003,,
0.201457,2,0.67099997,,
0.190371,2,0.703000030000002,,
0.194451,2,0.73399993,,
0.190753,2,0.765000070000003,,
0.215325,2,0.79599997,,
0.235266,2,0.828000030000002,,
0.223351,2,0.85899993,,
0.205159,2,0.905999860000001,,
0.035076,2,0.937000000000001,,
0.18565,2,0.967999900000002,,
0.181488,2,0.99999996,,
0.196482,2,1.03099986,,
0.190533,2,1.062,,
0.194199,2,1.10899993,,
0.187844,2,1.14000007,,
0.205162,2,1.17099997,,
0.133513,2,1.20300003,,
0.454476,2,1.23399993,,
0.212413,2,1.26500007,,
0.203485,2,1.29599997,,
0.208642,2,1.32800003,,
0.237047,2,1.37499996,,
0.095396,2,1.40599986,,
0.180809,2,1.437,,
0.180955,2,1.48399993,,
0.247431,2,1.51500007,,
0.203711,2,1.54599997,,
0.20746,2,1.57800003,,
0.200037,2,1.62499996,,
0.201158,2,1.65599986,,
0.204271,2,1.687,,
0.203451,2,1.7179999,,
0.200248,2,1.74999996,,
0.20517,2,1.78099986,,
0.201608,2,1.812,,
0.206027,2,1.85899993,,
0.20423,2,1.89000007,,
0.202003,2,1.92099997,,
0.200358,2,1.95300003,,
0.198374,2,0.0309999300000001,,
0.196318,2,0.0620000700000034,,
0.198218,2,0.092999970000001,,
0.200304,2,0.125000030000002,,
0.185955,2,0.171999960000001,,
0.189158,2,0.202999860000002,,
0.190851,2,0.234000000000002,,
0.189773,2,0.264999900000003,,
0.188987,2,0.296999960000001,,
0.194601,2,0.342999970000001,,
0.194476,2,0.389999900000003,,
0.199561,2,0.421999960000001,,
0.196788,2,0.452999860000002,,
0.200278,2,0.484000000000002,,
0.196456,2,0.514999900000003,,
0.192386,2,0.546999960000001,,
0.196364,2,0.577999860000002,,
0.191708,2,0.625000030000002,,
0.179654,2,0.65599993,,
0.193794,2,0.687000070000003,,
0.191813,2,0.717999970000001,,
0.193331,2,0.750000030000002,,
0.192508,2,0.78099993,,
0.193246,2,0.812000070000003,,
0.216639,2,0.842999970000001,,
0.211897,2,0.889999900000003,,
0.22657,2,0.921999960000001,,
0.210917,2,0.952999860000002,,
0.217942,2,0.984000000000002,,
0.209297,2,1.0149999,,
0.203595,2,1.04699996,,
0.219725,2,1.07799986,,
0.225178,2,1.12500003,,
0.226281,2,1.15599993,,
0.206985,2,1.18700007,,
0.224643,2,1.21799997,,
0.226827,2,1.25000003,,
0.221684,2,1.28099993,,
0.22164,2,1.31200007,,
0.178461,2,1.359,,
0.057482,2,1.3899999,,
0.603356,2,1.42199996,,
0.384888,2,1.45299986,,
0.182965,2,1.484,,
0.182364,2,1.5149999,,
0.177433,2,1.54699996,,
0.183264,2,1.57799986,,
0.199145,2,1.62500003,,
0.202178,2,1.67199996,,
0.214497,2,1.70299986,,
0.233635,2,1.734,,
0.230668,2,1.7649999,,
0.23141,2,1.79699996,,
0.22233,2,1.82799986,,
0.20762,2,1.87500003,,
0.18399,2,1.90599993,,
0.232378,1,0.031000070000001,,
0.222774,1,0.0619999699999987,,
0.222214,1,0.0940000300000001,,
0.372472,1,0.124999929999998,,
0.095394,1,0.156000070000001,,
0.22959,1,0.202999999999999,,
0.209141,1,0.233999900000001,,
0.209913,1,0.265999959999998,,
0.209508,1,0.29699986,,
0.204264,1,0.327999999999999,,
0.203635,1,0.358999900000001,,
0.195123,1,0.390999959999998,,
0.195143,1,0.436999969999999,,
0.187312,1,0.483999900000001,,
0.196322,1,0.515999959999998,,
0.196883,1,0.531000070000001,,
0.197242,1,0.561999969999999,,
0.199805,1,0.59400003,,
0.19503,1,0.624999929999998,,
0.195105,1,0.656000070000001,,
0.19481,1,0.702999999999999,,
0.189712,1,0.733999900000001,,
0.206052,1,0.765999959999998,,
0.19083,1,0.79699986,,
0.591506,1,0.827999999999999,,
0.505642,1,0.858999900000001,,
0.600012,1,0.890999959999998,,
0.64183,1,0.936999969999999,,
0.20673,1,0.96900003,,
0.200103,1,0.999999929999998,,
0.200977,1,1.03100007,,
0.208927,1,1.06199997,,
0.203557,1,1.09400003,,
0.200845,1,1.12499993,,
0.204088,1,1.17199986,,
0.228653,1,1.203,,
0.214078,1,1.2339999,,
0.211805,1,1.26599996,,
0.21495,1,1.29699986,,
0.218105,1,1.328,,
0.216646,1,1.37499993,,
0.23347,1,1.42199986,,
0.210067,1,1.453,,
0.244665,1,1.4839999,,
0.219898,1,1.51599996,,
0.219589,1,1.54699986,,
0.204821,1,1.578,,
0.200175,1,1.6089999,,
0.206429,1,1.65600007,,
0.210004,1,1.68699997,,
0.182791,1,1.71900003,,
0.195872,1,1.74999993,,
0.203262,2,0.031000070000001,,
0.202787,2,0.0619999699999987,,
0.197866,2,0.0940000300000001,,
0.216309,2,0.124999929999998,,
0.212714,2,0.17199986,,
0.201671,2,0.202999999999999,,
0.230735,2,0.233999900000001,,
0.240363,2,0.265999959999998,,
0.23252,2,0.29699986,,
0.2281,2,0.327999999999999,,
0.156903,2,0.358999900000001,,
0.152573,2,0.406000070000001,,
0.188273,2,0.436999969999999,,
0.162813,2,0.46900003,,
0.063702,2,0.499999929999998,,
0.237678,2,0.531000070000001,,
0.190088,2,0.561999969999999,,
0.229423,2,0.59400003,,
0.215324,2,0.624999929999998,,
0.205543,2,0.67199986,,
0.199461,2,0.702999999999999,,
0.197819,2,0.733999900000001,,
0.224705,2,0.765999959999998,,
0.197505,2,0.79699986,,
0.216554,2,0.827999999999999,,
0.227214,2,0.858999900000001,,
0.204984,2,0.906000070000001,,
0.620016,2,0.936999969999999,,
0.198502,2,0.96900003,,
0.227932,2,1.01599996,,
0.243734,2,1.04699986,,
0.211565,2,1.078,,
0.241784,2,1.1089999,,
0.607728,1,0.0470000700000028,,
0.329288,1,0.0779999700000005,,
0.215905,1,0.110000030000002,,
0.285836,1,0.14099993,,
0.291541,1,0.172000070000003,,
0.231205,1,0.20299997,,
0.232417,1,0.235000030000002,,
0.235134,1,0.28199996,,
0.22966,1,0.312999860000001,,
0.20901,1,0.344000000000001,,
0.193472,1,0.374999900000002,,
0.213589,1,0.40699996,,
0.212928,1,0.437999860000001,,
0.213781,1,0.485000030000002,,
0.198501,1,0.51599993,,
0.192529,1,0.547000070000003,,
0.194362,1,0.57799997,,
0.028481,1,0.610000030000002,,
0.209693,1,0.64099993,,
0.11985,1,0.672000070000003,,
0.582246,1,0.70299997,,
0.230477,1,0.735000030000002,,
0.18144,1,0.78199996,,
0.175558,1,0.812999860000001,,
0.178272,1,0.860000030000002,,
0.190712,1,0.89099993,,
0.193131,1,0.922000070000003,,
0.192042,1,0.95299997,,
0.199559,1,0.999999900000002,,
0.193609,1,1.03199996,,
0.195273,1,1.06299986,,
0.26806,1,1.094,,
0.245873,1,1.1249999,,
0.291883,1,1.15699996,,
0.20952,1,1.18799986,,
0.072756,1,1.219,,
0.051869,1,1.26599993,,
0.427695,1,1.29700007,,
0.37833,1,1.32799997,,
0.534358,1,1.36000003,,
0.549642,1,1.39099993,,
0.507397,1,1.42200007,,
0.520321,1,1.45299997,,
0.608498,1,1.4999999,,
0.387657,1,1.53199996,,
0.168734,1,1.56299986,,
0.181678,1,1.594,,
0.166988,1,1.6249999,,
0.183458,1,1.65699996,,
0.191411,1,1.70299997,,
0.196757,1,1.73500003,,
0.195041,2,0.0309999300000001,,
0.199853,2,0.0620000700000034,,
0.195197,1,0.0309999699999999,,
0.198451,1,0.0630000300000013,,
0.201188,1,0.093999929999999,,
0.200548,1,0.125000070000002,,
0.200011,2,0.0309999699999999,,
0.205531,2,0.0779999000000018,,
0.205822,2,0.10999996,,
0.206439,2,0.140999860000001,,
0.206593,2,0.172000000000001,,
0.169896,2,0.202999900000002,,
0.131859,2,0.23499996,,
0.249134,2,0.265999860000001,,
0.510866,2,0.313000030000001,,
0.564787,2,0.343999929999999,,
0.171371,2,0.375000070000002,,
0.169965,2,0.40599997,,
0.173633,2,0.438000030000001,,
0.141232,2,0.468999929999999,,
0.189441,2,0.500000070000002,,
0.187814,2,0.547000000000001,,
0.185199,2,0.577999900000002,,
0.178676,2,0.60999996,,
0.173134,2,0.640999860000001,,
0.172218,2,0.672000000000001,,
0.176353,2,0.702999900000002,,
0.179617,2,0.73499996,,
0.187362,2,0.78099997,,
0.191004,2,0.813000030000001,,
0.185839,2,0.85999996,,
0.187388,2,0.890999860000001,,
0.186594,2,0.922000000000001,,
0.190632,2,0.952999900000002,,
0.195479,2,1.00000007,,
0.193537,2,1.03099997,,
0.189001,2,1.06300003,,
0.187876,2,1.09399993,,
0.185369,2,1.12500007,,
0.18538,2,1.15599997,,
0.185476,2,1.18800003,,
0.18178,2,1.21899993,,
0.182466,2,1.25000007,,
0.183365,2,1.297,,
0.18581,2,1.3279999,,
0.188385,2,1.35999996,,
0.19576,2,1.39099986,,
0.186768,2,1.422,,
0.159505,2,1.4529999,,
0.421896,2,1.50000007,,
0.618235,2,1.53099997,,
0.183104,2,1.56300003,,
0.197347,2,1.60999996,,
0.203295,2,1.64099986,,
0.197651,2,1.68800003,,
0.189046,2,1.7029999,,
0.199206,2,1.75000007,,
0.192946,1,0.0309999699999999,,
0.191821,1,0.0630000300000013,,
0.191736,1,0.093999929999999,,
0.198817,1,0.125000070000002,,
0.21435,1,0.15599997,,
0.210728,1,0.202999900000002,,
0.204515,1,0.218999929999999,,
0.200484,1,0.297000000000001,,
0.167495,1,0.327999900000002,,
0.171362,1,0.35999996,,
0.175441,1,0.390999860000001,,
0.186349,2,0.0309999999999988,,
0.17574,2,0.0619999,,
0.186373,2,0.10900007,,
0.189886,2,0.139999969999998,,
0.090534,2,0.17200003,,
0.261602,2,0.202999929999997,,
0.218972,2,0.23400007,,
