PD,ROI,FD,,
0.186184,2,0.03099986,,
0.273633,2,0.062,,
0.162959,2,0.0929999,,
0.169311,2,0.12499996,,
0.161378,1,0.03099986,,
0.160432,2,0.03099986,,
0.161548,2,0.062,,
0.156231,1,0.03099986,,
0.15911,1,0.062,,
0.159381,1,0.0929999,,
0.160262,2,0.03099986,,
0.162934,2,0.062,,
0.160108,1,0.03099986,,
0.160897,1,0.062,,
0.164794,1,0.0929999,,
0.269123,1,0.12499996,,
0.164624,1,0.15599986,,
0.166754,1,0.187,,
0.171777,1,0.23399993,,
0.172498,1,0.26500007,,
0.169952,1,0.29599997,,
0.167876,1,0.32800003,,
0.165406,2,0.03099986,,
0.16522,1,0.03099986,,
0.165492,1,0.062,,
0.175649,2,0.03099986,,
0.172877,1,0.03099986,,
0.17193,1,0.062,,
0.178774,1,0.0929999,,
0.272366,1,0.12499996,,
0.175423,1,0.15599986,,
0.184175,1,0.187,,
0.173906,1,0.23399993,,
0.177277,1,0.26500007,,
0.180944,1,0.29599997,,
0.177866,1,0.32800003,,
0.175664,1,0.35899993,,
0.175207,1,0.39000007,,
0.175767,1,0.42099997,,
0.17265,1,0.45300003,,
0.173096,2,0.03099986,,
0.165355,1,0.03099986,,
0.162455,1,0.062,,
0.158246,1,0.0929999,,
0.160754,1,0.12499996,,
0.155766,1,0.15599986,,
0.153131,1,0.187,,
0.151822,1,0.23399993,,
0.237771,1,0.26500007,,
0.151577,1,0.29599997,,
0.159026,1,0.32800003,,
0.153102,2,0.03099986,,
0.154798,2,0.062,,
0.153554,1,0.03099986,,
0.155074,1,0.062,,
0.151021,1,0.0929999,,
0.150734,1,0.12499996,,
0.151948,2,0.03099986,,
0.160083,2,0.062,,
0.161277,2,0.0929999,,
0.160955,2,0.12499996,,
0.150321,2,0.15599986,,
0.154892,2,0.187,,
0.15099,2,0.23399993,,
0.151187,2,0.26500007,,
0.154751,2,0.29599997,,
0.161002,2,0.32800003,,
0.151114,2,0.35899993,,
0.148398,2,0.39000007,,
0.153731,2,0.42099997,,
0.159171,2,0.45300003,,
0.148322,2,0.49999996,,
0.153007,2,0.53099986,,
0.15419,2,0.562,,
0.154734,2,0.5929999,,
0.156227,2,0.62499996,,
0.154365,2,0.67099997,,
0.155238,2,0.7179999,,
0.160214,2,0.74999996,,
0.162441,2,0.78099986,,
0.157742,2,0.812,,
0.161501,2,0.8429999,,
0.162486,2,0.87499996,,
0.163402,2,0.90599986,,
0.161015,2,0.95300003,,
0.163178,2,0.98399993,,
0.248255,2,1.01500007,,
0.248659,2,1.04599997,,
0.162933,2,1.07800003,,
0.161052,2,1.10899993,,
0.166031,2,1.14000007,,
0.168766,2,1.17099997,,
0.169001,2,1.2179999,,
0.170837,2,1.24999996,,
0.168084,2,1.28099986,,
0.169396,2,1.312,,
0.167354,2,1.3429999,,
0.127817,2,1.37499996,,
0.189515,2,1.40599986,,
0.121952,2,1.45300003,,
0.162655,2,1.48399993,,
0.164784,2,1.51500007,,
0.166555,2,1.54599997,,
0.164311,2,1.57800003,,
0.16228,2,1.60899993,,
0.158441,2,1.64000007,,
0.166052,2,1.687,,
0.160163,2,0.03099986,,
0.162137,2,0.062,,
0.160924,2,0.0929999,,
0.156518,2,0.12499996,,
0.160328,2,0.03099986,,
0.155744,2,0.062,,
0.155103,2,0.0929999,,
0.155374,2,0.12499996,,
0.154481,2,0.15599986,,
0.150415,2,0.187,,
0.15975,2,0.23399993,,
0.160469,2,0.26500007,,
0.150595,2,0.29599997,,
0.160904,2,0.32800003,,
0.151571,1,0.03099986,,
0.156918,1,0.062,,
0.154684,2,0.03099986,,
0.153045,2,0.062,,
0.231177,2,0.0929999,,
0.149282,2,0.12499996,,
0.150667,2,0.15599986,,
0.150246,2,0.187,,
0.146479,2,0.23399993,,
0.142163,2,0.26500007,,
0.199976,2,0.03099986,,
0.196356,2,0.062,,
0.149713,2,0.0929999,,
0.147866,2,0.12499996,,
0.151494,2,0.15599986,,
0.150664,2,0.187,,
0.147173,2,0.23399993,,
0.155105,2,0.26500007,,
0.160879,2,0.29599997,,
0.157731,2,0.32800003,,
0.144378,2,0.35899993,,
0.156605,2,0.39000007,,
0.162004,2,0.42099997,,
0.156852,2,0.45300003,,
0.155454,2,0.49999996,,
0.155637,2,0.53099986,,
0.159547,2,0.562,,
0.161914,2,0.5929999,,
0.165029,2,0.03099986,,
0.16563,2,0.062,,
0.40822,2,0.0929999,,
0.410445,2,0.12499996,,
0.443056,2,0.15599986,,
0.440139,2,0.187,,
0.084445,2,0.23399993,,
0.412798,2,0.26500007,,
0.325013,2,0.29599997,,
0.17143,2,0.32800003,,
0.171586,2,0.35899993,,
0.157153,2,0.39000007,,
0.154934,2,0.42099997,,
0.15476,2,0.45300003,,
0.154592,2,0.49999996,,
0.162126,2,0.53099986,,
0.164083,2,0.562,,
0.16185,2,0.5929999,,
0.161534,2,0.62499996,,
0.162576,2,0.67099997,,
0.158326,2,0.7179999,,
0.157517,2,0.74999996,,
0.230649,2,0.78099986,,
0.154341,2,0.812,,
0.160484,2,0.03099986,,
0.155936,2,0.062,,
0.153277,2,0.0929999,,
0.149691,2,0.12499996,,
0.148057,2,0.15599986,,
0.150577,2,0.187,,
0.148081,2,0.23399993,,
0.146585,1,0.03099986,,
0.152495,1,0.062,,
0.155328,1,0.0929999,,
0.154281,1,0.12499996,,
0.150985,1,0.15599986,,
0.156505,1,0.187,,
0.151546,1,0.23399993,,
0.15938,1,0.26500007,,
0.158557,1,0.29599997,,
0.154487,1,0.32800003,,
0.158846,1,0.35899993,,
0.151962,1,0.39000007,,
0.153158,1,0.42099997,,
0.148543,1,0.45300003,,
0.153718,1,0.49999996,,
0.156488,1,0.53099986,,
0.156993,1,0.562,,
0.159732,1,0.5929999,,
0.160993,1,0.62499996,,
0.15584,1,0.67099997,,
0.153524,1,0.7179999,,
0.153188,1,0.74999996,,
0.156055,1,0.78099986,,
0.157934,1,0.812,,
0.156892,1,0.8429999,,
0.154822,1,0.87499996,,
0.153332,1,0.90599986,,
0.155675,1,0.95300003,,
0.155594,1,0.98399993,,
0.151084,1,1.01500007,,
0.152363,1,1.04599997,,
0.146906,1,1.07800003,,
0.144286,1,1.10899993,,
0.144467,1,0.03099986,,
0.136369,1,0.062,,
0.134323,1,0.0929999,,
0.133117,1,0.12499996,,
0.306583,1,0.15599986,,
0.130863,1,0.187,,
0.135663,1,0.23399993,,
0.132271,1,0.26500007,,
0.132649,1,0.29599997,,
0.13588,1,0.32800003,,
0.139215,1,0.35899993,,
0.142558,2,0.03099986,,
0.140306,2,0.062,,
0.140745,2,0.0929999,,
0.142185,2,0.12499996,,
0.143034,2,0.15599986,,
0.143689,2,0.187,,
0.143101,2,0.23399993,,
0.142119,2,0.26500007,,
0.136616,2,0.29599997,,
0.133601,2,0.32800003,,
0.130004,2,0.35899993,,
0.126169,2,0.39000007,,
0.126699,2,0.42099997,,
0.123685,2,0.45300003,,
0.130228,1,0.03099986,,
