PD,ROI,FD,,
0.172496,2,0.03099986,,
0.158844,2,0.062,,
0.141675,2,0.0929999,,
0.133565,2,0.12499996,,
0.129704,2,0.15599986,,
0.128162,2,0.187,,
0.1302,2,0.23399993,,
0.134105,2,0.26500007,,
0.133741,2,0.29599997,,
0.135599,2,0.32800003,,
0.137518,2,0.35899993,,
0.137051,2,0.39000007,,
0.137026,2,0.42099997,,
0.133989,2,0.45300003,,
0.134531,2,0.49999996,,
0.129037,2,0.53099986,,
0.125477,2,0.03099986,,
0.116678,2,0.062,,
0.121043,2,0.03099986,,
0.119323,2,0.062,,
0.129153,2,0.0929999,,
0.132001,2,0.12499996,,
0.132984,2,0.15599986,,
0.142365,2,0.187,,
0.129041,2,0.23399993,,
0.146321,2,0.26500007,,
0.131102,2,0.29599997,,
0.131218,2,0.32800003,,
0.131799,2,0.35899993,,
0.131252,2,0.39000007,,
0.132578,2,0.42099997,,
0.128775,2,0.45300003,,
0.128939,2,0.49999996,,
0.125384,2,0.53099986,,
0.124937,2,0.03099986,,
0.130836,2,0.062,,
0.136033,2,0.0929999,,
0.139646,2,0.12499996,,
0.136619,2,0.15599986,,
0.141654,2,0.187,,
0.141356,2,0.23399993,,
0.141576,2,0.26500007,,
0.131964,2,0.29599997,,
0.131811,2,0.32800003,,
0.122795,2,0.35899993,,
0.123131,2,0.39000007,,
0.117346,2,0.42099997,,
0.115112,2,0.45300003,,
0.113152,2,0.49999996,,
0.114719,2,0.53099986,,
0.114659,2,0.562,,
0.115785,1,0.03099986,,
0.121662,1,0.062,,
0.125102,1,0.0929999,,
0.128238,1,0.12499996,,
0.128096,1,0.15599986,,
0.123116,1,0.187,,
0.128317,1,0.23399993,,
0.126874,2,0.03099986,,
0.051812,2,0.062,,
0.040041,2,0.0929999,,
0.336796,2,0.12499996,,
0.779967,2,0.15599986,,
0.449431,2,0.187,,
0.146445,1,0.03099986,,
0.134577,1,0.062,,
0.15801,1,0.0929999,,
0.150863,2,0.03099986,,
0.130029,2,0.062,,
0.129562,2,0.0929999,,
0.126199,1,0.03099986,,
0.125556,1,0.062,,
0.093077,1,0.0929999,,
0.138317,1,0.12499996,,
0.132908,1,0.15599986,,
0.127831,2,0.03099986,,
0.121557,2,0.062,,
0.118935,2,0.0929999,,
0.123817,2,0.12499996,,
0.12492,1,0.03099986,,
0.127265,1,0.062,,
0.130196,1,0.0929999,,
0.133136,1,0.12499996,,
0.166287,1,0.15599986,,
0.369269,1,0.187,,
0.137073,1,0.23399993,,
0.154573,2,0.03099986,,
0.16633,2,0.062,,
0.362598,2,0.0929999,,
0.079089,2,0.12499996,,
0.335605,2,0.15599986,,
0.311323,2,0.187,,
0.309177,2,0.23399993,,
0.139522,2,0.26500007,,
0.140033,2,0.29599997,,
0.096602,2,0.32800003,,
0.152583,2,0.35899993,,
0.144223,2,0.39000007,,
0.13565,1,0.03099986,,
0.138651,1,0.062,,
0.140611,2,0.03099986,,
0.1438,2,0.062,,
0.141618,2,0.0929999,,
0.324758,2,0.12499996,,
0.172539,2,0.15599986,,
0.178591,2,0.187,,
0.159613,2,0.23399993,,
0.168712,2,0.26500007,,
0.145271,2,0.29599997,,
0.140295,2,0.32800003,,
0.137084,2,0.35899993,,
0.139489,2,0.39000007,,
0.139472,2,0.42099997,,
0.145433,2,0.45300003,,
0.139176,2,0.49999996,,
0.137972,2,0.53099986,,
0.138442,2,0.03099986,,
0.138008,2,0.062,,
0.140489,2,0.0929999,,
0.129268,2,0.12499996,,
0.13604,2,0.15599986,,
0.137129,2,0.187,,
0.135181,2,0.23399993,,
0.134972,2,0.26500007,,
0.1291,2,0.29599997,,
0.126106,2,0.32800003,,
0.124464,2,0.35899993,,
0.133141,2,0.39000007,,
0.140713,2,0.42099997,,
0.133239,2,0.45300003,,
0.129475,2,0.03099986,,
0.133171,2,0.062,,
0.125055,2,0.0929999,,
0.122607,2,0.12499996,,
0.12515,2,0.15599986,,
0.129541,2,0.187,,
0.127006,2,0.23399993,,
0.124275,2,0.26500007,,
0.121962,2,0.29599997,,
0.119928,2,0.32800003,,
0.127103,2,0.35899993,,
0.127229,2,0.39000007,,
0.127066,1,0.03099986,,
0.123483,1,0.062,,
0.119989,1,0.0929999,,
0.115594,1,0.12499996,,
0.118273,1,0.15599986,,
0.122096,1,0.187,,
0.128224,1,0.23399993,,
0.133659,1,0.26500007,,
0.142633,1,0.29599997,,
0.140009,1,0.32800003,,
0.108471,1,0.35899993,,
0.155272,2,0.03099986,,
0.14951,2,0.062,,
0.142588,2,0.0929999,,
0.133069,2,0.12499996,,
0.123208,2,0.15599986,,
0.119868,1,0.03099986,,
0.121914,2,0.03099986,,
0.136826,2,0.062,,
0.143159,1,0.03099986,,
0.145409,1,0.062,,
0.145292,1,0.0929999,,
0.140141,1,0.12499996,,
0.12982,1,0.15599986,,
0.123005,1,0.187,,
0.119743,1,0.23399993,,
0.122581,1,0.26500007,,
0.125021,1,0.29599997,,
0.121245,1,0.32800003,,
0.131367,1,0.35899993,,
0.136177,1,0.39000007,,
0.139168,1,0.42099997,,
0.140344,1,0.45300003,,
0.137913,1,0.49999996,,
0.126222,1,0.53099986,,
0.120961,1,0.03099986,,
0.104305,1,0.062,,
0.118461,1,0.0929999,,
0.119909,1,0.12499996,,
0.166686,1,0.15599986,,
0.125361,1,0.187,,
0.123068,1,0.23399993,,
0.122955,2,0.03099986,,
0.094179,2,0.062,,
0.136674,2,0.0929999,,
0.128102,2,0.12499996,,
0.122705,2,0.15599986,,
0.134296,2,0.187,,
0.145723,2,0.23399993,,
0.149508,2,0.26500007,,
0.102801,2,0.29599997,,
0.141656,2,0.32800003,,
0.153969,2,0.35899993,,
0.148381,2,0.39000007,,
0.148859,2,0.42099997,,
0.153187,1,0.45300003,,
0.166558,1,0.03099986,,
0.161002,1,0.062,,
0.158725,1,0.0929999,,
0.144185,1,0.12499996,,
0.138673,1,0.15599986,,
0.134953,1,0.187,,
0.128381,1,0.23399993,,
0.128214,2,0.03099986,,
0.132524,2,0.062,,
0.133841,2,0.0929999,,
0.136552,2,0.12499996,,
0.135189,2,0.15599986,,
0.091646,2,0.187,,
0.044773,2,0.23399993,,
0.174029,2,0.26500007,,
0.150486,2,0.29599997,,
0.153719,2,0.32800003,,
0.086904,2,0.35899993,,
0.200747,2,0.39000007,,
0.151861,2,0.42099997,,
0.143665,2,0.45300003,,
0.128356,2,0.49999996,,
0.126449,2,0.53099986,,
0.124476,2,0.03099986,,
0.05732,2,0.062,,
0.381372,2,0.0929999,,
0.69526,2,0.12499996,,
0.365038,2,0.15599986,,
0.137926,2,0.187,,
0.163687,2,0.23399993,,
0.164717,2,0.26500007,,
0.152202,2,0.29599997,,
0.149858,2,0.32800003,,
0.156202,2,0.35899993,,
0.147138,2,0.39000007,,
0.139051,2,0.42099997,,
0.165648,2,0.45300003,,
0.283707,2,0.49999996,,
0.161285,2,0.53099986,,
0.233113,2,0.562,,
0.040686,2,0.5929999,,
0.094506,2,0.62499996,,
0.199549,2,0.03099986,,
0.390212,2,0.062,,
0.45429,2,0.0929999,,
0.392914,2,0.12499996,,
0.171106,2,0.15599986,,
0.15134,2,0.187,,
0.131575,2,0.23399993,,
0.124852,2,0.26500007,,
0.12426,2,0.29599997,,
0.137548,2,0.32800003,,
0.150214,2,0.35899993,,
0.149704,2,0.39000007,,
0.144538,2,0.42099997,,
0.148089,1,0.03099986,,
0.137729,1,0.062,,
0.221292,1,0.0929999,,
0.156021,1,0.12499996,,
0.156007,1,0.15599986,,
0.159578,1,0.187,,
0.154348,1,0.23399993,,
0.162393,1,0.26500007,,
0.157023,1,0.29599997,,
0.150868,1,0.32800003,,
0.145892,1,0.35899993,,
0.194704,1,0.39000007,,
0.161525,1,0.42099997,,
0.161686,1,0.45300003,,
0.171029,1,0.49999996,,
0.161201,2,0.03099986,,
0.166233,2,0.062,,
0.155554,2,0.0929999,,
0.15467,2,0.12499996,,
0.153659,2,0.15599986,,
0.152519,2,0.187,,
0.151911,2,0.23399993,,
0.14823,2,0.26500007,,
0.153368,2,0.29599997,,
0.145626,2,0.32800003,,
0.147209,2,0.35899993,,
0.145408,2,0.39000007,,
0.143988,2,0.42099997,,
0.059388,2,0.45300003,,
0.167061,2,0.49999996,,
0.159011,2,0.53099986,,
0.153066,2,0.03099986,,
0.147055,2,0.062,,
0.144441,2,0.0929999,,
0.139374,2,0.12499996,,
0.137677,2,0.15599986,,
0.13143,2,0.187,,
0.125602,2,0.23399993,,
0.125398,2,0.26500007,,
0.125057,2,0.29599997,,
0.127136,2,0.32800003,,
0.117624,2,0.35899993,,
