PD,ROI,FD,,
0.181641,2,0.03099986,,
0.171942,2,0.062,,
0.146412,2,0.0929999,,
0.137643,1,0.03099986,,
0.139717,2,0.062,,
0.141925,2,0.0929999,,
0.154772,2,0.12499996,,
0.146306,2,0.15599986,,
0.143677,2,0.187,,
0.152661,2,0.23399993,,
0.153366,2,0.26500007,,
0.083347,2,0.29599997,,
0.170589,2,0.32800003,,
0.157761,2,0.35899993,,
0.166129,2,0.39000007,,
0.161251,2,0.42099997,,
0.170742,2,0.45300003,,
0.172705,2,0.49999996,,
0.152065,2,0.53099986,,
0.165769,2,0.562,,
0.163021,2,0.5929999,,
0.144214,2,0.62499996,,
0.161339,2,0.03099986,,
0.162904,2,0.062,,
0.174542,2,0.0929999,,
0.169652,2,0.12499996,,
0.152319,2,0.15599986,,
0.150268,2,0.187,,
0.159209,2,0.23399993,,
0.183463,2,0.26500007,,
0.186598,2,0.29599997,,
0.166789,2,0.32800003,,
0.169835,2,0.03099986,,
0.160378,2,0.062,,
0.155537,2,0.0929999,,
0.144374,2,0.12499996,,
0.158706,2,0.15599986,,
0.168496,2,0.187,,
0.162742,2,0.23399993,,
0.160295,2,0.26500007,,
0.162282,2,0.29599997,,
0.177853,2,0.32800003,,
0.180415,2,0.03099986,,
0.149674,2,0.062,,
0.054157,2,0.0929999,,
0.217921,2,0.12499996,,
0.290053,2,0.15599986,,
0.076282,2,0.187,,
0.138606,2,0.23399993,,
0.130537,2,0.26500007,,
0.134894,2,0.29599997,,
0.137197,2,0.32800003,,
0.184798,2,0.35899993,,
0.243494,2,0.39000007,,
0.15998,2,0.42099997,,
0.128452,2,0.45300003,,
0.153702,2,0.49999996,,
0.052635,2,0.53099986,,
0.162502,2,0.03099986,,
0.204601,2,0.062,,
0.221631,2,0.0929999,,
0.149436,2,0.12499996,,
0.135733,2,0.15599986,,
0.130521,2,0.187,,
0.080315,2,0.23399993,,
0.170139,2,0.26500007,,
0.159312,2,0.29599997,,
0.111456,2,0.32800003,,
0.152702,2,0.35899993,,
0.149635,2,0.39000007,,
0.068275,2,0.42099997,,
0.157003,2,0.45300003,,
0.17876,2,0.49999996,,
0.154153,2,0.53099986,,
0.188922,2,0.562,,
0.16434,2,0.5929999,,
0.163323,2,0.62499996,,
0.164831,2,0.67099997,,
0.165628,2,0.03099986,,
0.165291,2,0.062,,
0.16095,2,0.0929999,,
0.157477,2,0.12499996,,
0.152896,2,0.15599986,,
0.146599,1,0.03099986,,
0.152185,1,0.062,,
0.152175,2,0.03099986,,
0.155327,2,0.062,,
0.156048,1,0.03099986,,
0.134098,2,0.03099986,,
0.070647,2,0.062,,
0.093787,2,0.0929999,,
0.161388,2,0.12499996,,
0.159005,2,0.15599986,,
0.157316,2,0.187,,
0.159139,2,0.23399993,,
0.155742,2,0.26500007,,
0.156925,2,0.29599997,,
0.153155,2,0.32800003,,
0.144323,1,0.03099986,,
0.145923,1,0.062,,
0.146133,1,0.0929999,,
0.147836,1,0.12499996,,
0.144701,1,0.15599986,,
0.138009,1,0.187,,
0.143333,2,0.03099986,,
0.141874,2,0.062,,
0.144856,2,0.0929999,,
0.062664,2,0.12499996,,
0.153748,2,0.15599986,,
0.158656,2,0.187,,
0.153863,2,0.23399993,,
0.157489,2,0.26500007,,
0.155807,2,0.29599997,,
0.152788,2,0.32800003,,
0.142859,2,0.35899993,,
0.14561,2,0.39000007,,
0.150352,2,0.42099997,,
0.157094,2,0.45300003,,
0.154093,2,0.49999996,,
0.155411,2,0.53099986,,
0.171227,2,0.562,,
0.1618,2,0.5929999,,
0.151494,2,0.62499996,,
0.145288,2,0.67099997,,
0.153871,2,0.7179999,,
0.161128,2,0.74999996,,
0.127507,2,0.78099986,,
0.152718,2,0.812,,
0.153777,2,0.8429999,,
0.066578,2,0.87499996,,
0.159996,2,0.90599986,,
0.152473,2,0.95300003,,
0.152141,2,0.98399993,,
0.04478,2,1.01500007,,
0.196711,2,1.04599997,,
0.160225,2,1.07800003,,
0.160894,2,1.10899993,,
0.161139,2,1.14000007,,
0.157333,2,1.17099997,,
0.160083,2,1.2179999,,
0.177556,2,1.24999996,,
0.209113,2,1.28099986,,
0.188796,2,1.312,,
0.182384,2,1.3429999,,
0.161864,2,1.37499996,,
0.163377,2,1.40599986,,
0.199173,2,1.45300003,,
0.177703,2,1.48399993,,
0.172333,2,1.51500007,,
0.183275,2,1.54599997,,
0.049556,2,1.57800003,,
0.159237,2,1.60899993,,
0.048013,2,1.64000007,,
0.145746,2,1.687,,
0.146871,2,1.7179999,,
0.141633,2,1.74999996,,
0.270853,2,1.78099986,,
0.136946,2,0.03099986,,
0.145401,2,0.062,,
0.077313,2,0.0929999,,
0.156784,2,0.12499996,,
0.327468,2,0.15599986,,
0.161306,2,0.187,,
0.159494,2,0.23399993,,
0.164424,2,0.26500007,,
0.167773,2,0.29599997,,
0.18031,2,0.32800003,,
0.171278,2,0.35899993,,
0.176566,2,0.39000007,,
0.203945,2,0.42099997,,
0.179722,2,0.45300003,,
0.21312,2,0.49999996,,
0.184665,2,0.53099986,,
0.105958,2,0.562,,
0.172628,2,0.5929999,,
0.178386,2,0.62499996,,
0.165257,2,0.67099997,,
0.162689,2,0.7179999,,
0.154544,2,0.74999996,,
0.160373,2,0.78099986,,
0.177904,2,0.812,,
0.172844,2,0.8429999,,
0.170574,2,0.87499996,,
0.159849,2,0.90599986,,
0.168364,2,0.95300003,,
0.160301,2,0.98399993,,
0.158156,2,1.01500007,,
0.15409,2,1.04599997,,
0.059725,2,1.07800003,,
0.164356,2,1.10899993,,
0.099983,2,1.14000007,,
0.1961,2,1.17099997,,
0.163824,2,1.2179999,,
0.106968,2,1.24999996,,
0.139587,2,1.28099986,,
0.177246,2,1.312,,
0.17529,2,1.3429999,,
0.157558,2,1.37499996,,
0.144205,2,1.40599986,,
0.138691,2,1.45300003,,
0.054188,2,1.48399993,,
0.149322,2,1.51500007,,
0.157999,2,1.54599997,,
0.150537,2,1.57800003,,
0.151072,2,1.60899993,,
0.146969,2,1.64000007,,
0.146003,2,1.687,,
0.22108,2,1.7179999,,
0.163287,2,1.74999996,,
0.161572,2,1.78099986,,
0.163502,2,1.812,,
0.159828,2,1.8429999,,
0.151141,2,1.87499996,,
0.157901,2,1.90599986,,
0.15643,2,1.95300003,,
0.022535,2,1.99999996,,
0.154244,2,2.03099986,,
0.059587,2,2.062,,
0.180393,2,2.0929999,,
0.167274,2,2.12499996,,
0.162752,2,2.15599986,,
0.08566,2,2.20300003,,
0.168854,2,2.23399993,,
0.159017,2,2.26500007,,
0.158183,2,2.29599997,,
0.034367,2,2.32800003,,
0.15901,2,2.35899993,,
0.162681,2,2.39000007,,
0.154149,2,2.437,,
0.145131,2,2.4679999,,
0.149285,2,2.49999996,,
0.151182,2,2.53099986,,
0.162335,2,2.562,,
0.167227,2,2.5929999,,
0.172497,2,2.62499996,,
0.174005,2,2.67099997,,
0.071644,2,2.7179999,,
0.189971,2,2.74999996,,
0.170813,2,2.76500007,,
0.169055,2,2.79599997,,
0.156872,2,2.82800003,,
0.157865,2,2.85899993,,
0.12387,2,2.89000007,,
0.187455,2,2.937,,
0.180555,2,2.9679999,,
0.166893,2,2.99999996,,
0.166498,2,3.03099986,,
0.15825,2,3.062,,
0.165238,2,0.03099986,,
