PD,ROI,FD,,
0.172295,1,0.03099986,,
0.169651,1,0.062,,
0.153441,1,0.0929999,,
0.16787,1,0.12499996,,
0.16003,1,0.15599986,,
0.166108,1,0.187,,
0.169343,1,0.23399993,,
0.170939,1,0.26500007,,
0.168651,2,0.03099986,,
0.170761,1,0.03099986,,
0.170461,1,0.062,,
0.16743,2,0.03099986,,
0.167395,1,0.03099986,,
0.169458,1,0.062,,
0.164738,1,0.0929999,,
0.162241,1,0.12499996,,
0.167566,1,0.15599986,,
0.162686,1,0.187,,
0.165713,1,0.23399993,,
0.159558,1,0.26500007,,
0.165144,1,0.29599997,,
0.156755,1,0.32800003,,
0.181665,1,0.35899993,,
0.186424,1,0.39000007,,
0.157478,1,0.42099997,,
0.173065,1,0.45300003,,
0.169149,1,0.49999996,,
0.167729,1,0.53099986,,
0.166281,1,0.562,,
0.170444,1,0.5929999,,
0.173977,1,0.62499996,,
0.165415,1,0.67099997,,
0.167259,1,0.7179999,,
0.184867,1,0.74999996,,
0.176087,1,0.78099986,,
0.179346,1,0.812,,
0.180129,1,0.8429999,,
0.184113,1,0.87499996,,
0.17809,1,0.90599986,,
0.173208,1,0.95300003,,
0.179903,1,0.98399993,,
0.181145,1,1.01500007,,
0.173605,1,1.04599997,,
0.175185,1,1.07800003,,
0.178977,1,1.10899993,,
0.174168,1,1.14000007,,
0.176534,1,1.17099997,,
0.175462,1,1.2179999,,
0.180713,1,1.24999996,,
0.181159,1,1.28099986,,
0.167183,1,1.312,,
0.169471,1,1.3429999,,
0.170915,1,1.37499996,,
0.169036,1,1.40599986,,
0.158451,1,1.45300003,,
0.14692,1,1.48399993,,
0.158777,1,1.51500007,,
0.160054,1,0.03099986,,
0.170852,1,0.062,,
0.153895,1,0.0929999,,
0.168321,1,0.12499996,,
0.168901,1,0.15599986,,
0.159622,1,0.187,,
0.149464,1,0.23399993,,
0.151992,1,0.26500007,,
0.153646,1,0.29599997,,
0.168246,1,0.32800003,,
0.16793,1,0.35899993,,
0.156645,1,0.39000007,,
0.151802,1,0.42099997,,
0.149531,1,0.45300003,,
0.163311,1,0.49999996,,
0.160284,1,0.53099986,,
0.176965,2,0.03099986,,
0.157889,2,0.062,,
0.153491,2,0.0929999,,
0.15,2,0.12499996,,
0.159372,2,0.15599986,,
0.157358,2,0.187,,
0.160216,1,0.03099986,,
0.163193,1,0.062,,
0.160427,1,0.0929999,,
0.150809,1,0.12499996,,
0.17151,1,0.15599986,,
0.151503,1,0.187,,
0.153385,2,0.03099986,,
0.16866,1,0.03099986,,
0.170289,1,0.062,,
0.161857,1,0.0929999,,
0.168198,1,0.12499996,,
0.16107,1,0.15599986,,
0.161825,1,0.187,,
0.177224,1,0.23399993,,
0.166529,1,0.26500007,,
0.178729,1,0.29599997,,
0.161847,1,0.32800003,,
0.164801,1,0.35899993,,
0.16438,1,0.39000007,,
0.171284,1,0.42099997,,
0.16504,1,0.45300003,,
0.162506,1,0.49999996,,
0.164761,1,0.53099986,,
0.169576,1,0.562,,
0.161488,2,0.03099986,,
0.16245,1,0.03099986,,
0.160632,1,0.062,,
0.156103,1,0.0929999,,
0.160547,1,0.12499996,,
0.158661,1,0.15599986,,
0.167961,1,0.187,,
0.164392,1,0.23399993,,
0.166629,1,0.26500007,,
0.165248,1,0.29599997,,
0.175239,1,0.32800003,,
0.167487,1,0.35899993,,
0.181971,1,0.39000007,,
0.165264,1,0.42099997,,
0.174121,1,0.45300003,,
0.165821,1,0.49999996,,
0.170099,1,0.53099986,,
0.163232,1,0.562,,
0.157053,1,0.5929999,,
0.165993,1,0.62499996,,
0.156785,1,0.67099997,,
0.167966,1,0.7179999,,
0.167749,1,0.74999996,,
0.159556,1,0.78099986,,
0.147806,1,0.812,,
0.153166,1,0.8429999,,
0.154428,1,0.87499996,,
0.156697,1,0.90599986,,
0.142724,1,0.95300003,,
0.160975,1,0.98399993,,
0.165127,1,1.01500007,,
0.162442,1,1.04599997,,
0.162187,1,1.07800003,,
0.164655,1,1.10899993,,
0.163059,1,1.14000007,,
0.187554,1,1.17099997,,
0.192556,1,1.2179999,,
0.174094,1,1.24999996,,
0.164005,1,1.28099986,,
0.161936,1,1.312,,
0.167605,1,1.3429999,,
0.161566,1,1.37499996,,
0.160013,1,1.40599986,,
0.170809,1,1.45300003,,
0.157922,1,1.48399993,,
0.169816,1,1.51500007,,
0.158323,1,1.54599997,,
0.162738,1,1.57800003,,
0.157128,1,1.60899993,,
0.160339,1,1.64000007,,
0.180586,1,1.687,,
0.158101,1,1.7179999,,
0.160132,1,1.74999996,,
0.158274,1,1.78099986,,
0.166577,1,1.812,,
0.155119,1,1.8429999,,
0.164495,1,1.87499996,,
0.161082,1,1.90599986,,
0.167138,1,1.95300003,,
0.166539,1,0.03099986,,
0.165221,1,0.062,,
0.163169,1,0.0929999,,
0.166702,1,0.12499996,,
0.158663,1,0.15599986,,
0.151947,1,0.187,,
0.151096,1,0.23399993,,
0.158173,1,0.26500007,,
0.153769,1,0.29599997,,
0.147168,1,0.32800003,,
0.145983,1,0.35899993,,
0.146421,1,0.39000007,,
0.148736,1,0.42099997,,
0.147522,1,0.45300003,,
0.142301,1,0.49999996,,
0.155698,1,0.53099986,,
0.154698,1,0.562,,
0.152765,1,0.5929999,,
0.154666,1,0.62499996,,
0.156438,1,0.67099997,,
0.152539,1,0.7179999,,
0.176017,1,0.74999996,,
0.147876,1,0.78099986,,
0.147846,1,0.812,,
0.169078,1,0.8429999,,
0.165532,1,0.87499996,,
0.17772,1,0.90599986,,
0.1743,1,0.95300003,,
0.1716,1,0.98399993,,
0.168461,1,1.01500007,,
0.17319,1,1.04599997,,
0.169974,1,1.07800003,,
0.205999,1,1.10899993,,
0.176979,1,1.14000007,,
0.182541,1,1.17099997,,
0.162632,1,1.2179999,,
0.165016,1,1.24999996,,
0.159248,1,1.28099986,,
0.152822,1,1.312,,
0.161444,1,1.3429999,,
0.168182,1,1.37499996,,
0.156716,1,1.40599986,,
0.177991,1,1.45300003,,
0.145378,1,1.48399993,,
0.151754,1,1.51500007,,
0.145287,1,1.54599997,,
0.142008,1,1.57800003,,
0.156062,1,1.60899993,,
0.147579,1,1.64000007,,
0.150878,1,1.687,,
0.158933,1,1.7179999,,
0.161096,1,1.74999996,,
0.161936,1,1.78099986,,
0.158755,1,1.812,,
0.15863,1,1.8429999,,
0.147988,1,1.87499996,,
0.147322,1,1.90599986,,
0.158764,1,1.95300003,,
0.158347,1,0.03099986,,
0.162864,1,0.062,,
0.154537,1,0.0929999,,
0.165654,1,0.12499996,,
0.165288,1,0.15599986,,
0.163125,1,0.187,,
0.152808,1,0.03099986,,
0.148429,1,0.062,,
0.160322,1,0.0929999,,
0.166489,1,0.12499996,,
0.145253,1,0.15599986,,
0.153165,1,0.187,,
